GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Movie Ticket Bookig System,com.capgemini.xcorps.movie,MovieApplication,268,0,20,0,70,0,15,0,2,0
Movie Ticket Bookig System,com.capgemini.xcorps.entity,Movie,64,9,0,0,15,4,10,2,10,2
Movie Ticket Bookig System,com.capgemini.xcorps.entity,Theatre,40,9,0,0,9,4,6,2,6,2
Movie Ticket Bookig System,com.capgemini.xcorps.entity,City,61,0,0,0,16,0,10,0,10,0
Movie Ticket Bookig System,com.capgemini.xcorps.util,MovieConstants,3,0,0,0,1,0,1,0,1,0
Movie Ticket Bookig System,com.capgemini.xcorps.service,MovieServiceImpl,206,739,26,56,32,112,17,36,1,11
Movie Ticket Bookig System,com.capgemini.xcorps.controller,MovieController,8,86,2,4,2,19,3,12,1,11
